VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860797378	-169.003	54.7602	-45.0764	0.998692	0.00643552	0.0488873	-0.0135024	img_Drone1__0_1644860797911601100.png
Drone1	1644860797447	-169.798	55.0197	-45.1139	0.9987	0.00640757	0.0487466	-0.0134724	img_Drone1__0_1644860797980301900.png
Drone1	1644860797516	-170.593	55.2793	-45.1445	0.998705	0.00645724	0.0486359	-0.0134485	img_Drone1__0_1644860798049043600.png
Drone1	1644860797567	-171.18	55.4712	-45.1629	0.998711	0.00649769	0.0485174	-0.0134344	img_Drone1__0_1644860798099732000.png
Drone1	1644860797618	-171.767	55.6632	-45.1781	0.998716	0.0065008	0.04841	-0.0134224	img_Drone1__0_1644860798149805100.png
Drone1	1644860797669	-172.354	55.8552	-45.19	0.998721	0.00649941	0.0483098	-0.0134124	img_Drone1__0_1644860798200677300.png
Drone1	1644860797738	-173.148	56.115	-45.2016	0.998728	0.00644924	0.0481842	-0.0133983	img_Drone1__0_1644860798270848400.png
Drone1	1644860797807	-173.942	56.3749	-45.2083	0.998736	0.00632658	0.0480297	-0.0133818	img_Drone1__0_1644860798340670000.png
Drone1	1644860797882	-174.805	56.6575	-45.2106	0.998749	0.00614379	0.0477865	-0.0133684	img_Drone1__0_1644860798413818800.png
Drone1	1644860797933	-175.392	56.8497	-45.2095	0.99902	0.00435864	0.0419755	-0.0133208	img_Drone1__0_1644860798464619900.png
Drone1	1644860797981	-175.944	57.0306	-45.2068	0.999595	-0.00103415	0.0252027	-0.0131931	img_Drone1__0_1644860798514918100.png
Drone1	1644860798032	-176.53	57.2224	-45.2025	0.999848	-0.0108295	-0.00406693	-0.0130118	img_Drone1__0_1644860798565779100.png
Drone1	1644860798086	-177.147	57.4247	-45.1969	0.998677	-0.0243878	-0.0433952	-0.0128899	img_Drone1__0_1644860798617305600.png
